index,image,label
457,Training Data\Mountain\Mountain (3028).jpeg,Mountain
458,Training Data\Mountain\Mountain (3029).jpeg,Mountain
459,Training Data\Mountain\Mountain (3030).jpeg,Mountain
460,Training Data\Mountain\Mountain (3031).jpeg,Mountain
461,Training Data\Mountain\Mountain (3032).jpeg,Mountain
462,Training Data\Mountain\Mountain (3033).jpeg,Mountain
463,Training Data\Mountain\Mountain (3034).jpeg,Mountain
464,Training Data\Mountain\Mountain (3035).jpeg,Mountain
465,Training Data\Mountain\Mountain (3041).jpeg,Mountain
466,Training Data\Mountain\Mountain (3042).jpeg,Mountain
467,Training Data\Mountain\Mountain (3043).jpeg,Mountain
468,Training Data\Mountain\Mountain (3044).jpeg,Mountain
469,Training Data\Mountain\Mountain (3045).jpeg,Mountain
470,Training Data\Mountain\Mountain (3046).jpeg,Mountain
471,Training Data\Mountain\Mountain (3047).jpeg,Mountain
472,Training Data\Mountain\Mountain (3048).jpeg,Mountain
473,Training Data\Mountain\Mountain (3049).jpeg,Mountain
474,Training Data\Mountain\Mountain (3050).jpeg,Mountain
475,Training Data\Mountain\Mountain (3051).jpeg,Mountain
476,Training Data\Mountain\Mountain (3052).jpeg,Mountain
477,Training Data\Mountain\Mountain (3053).jpeg,Mountain
478,Training Data\Mountain\Mountain (3054).jpeg,Mountain
479,Training Data\Mountain\Mountain (3055).jpeg,Mountain
480,Training Data\Mountain\Mountain (3056).jpeg,Mountain
481,Training Data\Mountain\Mountain (3057).jpeg,Mountain
482,Training Data\Mountain\Mountain (3058).jpeg,Mountain
483,Training Data\Mountain\Mountain (3059).jpeg,Mountain
484,Training Data\Mountain\Mountain (3060).jpeg,Mountain
485,Training Data\Mountain\Mountain (3061).jpeg,Mountain
486,Training Data\Mountain\Mountain (3062).jpeg,Mountain
487,Training Data\Mountain\Mountain (3063).jpeg,Mountain
488,Training Data\Mountain\Mountain (3064).jpeg,Mountain
489,Training Data\Mountain\Mountain (3065).jpeg,Mountain
490,Training Data\Mountain\Mountain (3066).jpeg,Mountain
491,Training Data\Mountain\Mountain (3067).jpeg,Mountain
492,Training Data\Mountain\Mountain (3068).jpeg,Mountain
493,Training Data\Mountain\Mountain (3069).jpeg,Mountain
494,Training Data\Mountain\Mountain (3070).jpeg,Mountain
495,Training Data\Mountain\Mountain (3071).jpeg,Mountain
496,Training Data\Mountain\Mountain (3072).jpeg,Mountain
497,Training Data\Mountain\Mountain (3073).jpeg,Mountain
498,Training Data\Mountain\Mountain (3074).jpeg,Mountain
499,Training Data\Mountain\Mountain (3075).jpeg,Mountain
